,chem-scout,chem-valley-kush,chemdawg,chemdawg-4,chemdawg-4-x-alien-og-kush,chemdawg-91,chemdawg-sour-diesel,chemmy-jones,chemnesia,chemo,chems-sister,chemwreck,chernobyl,cherries-jubilee,cherry-ak-47,cherry-bomb,cherry-cookies,cherry-cream-pie,cherry-diesel,cherry-durban-poison,cherry-fire,cherry-fuel,cherry-grapefruit,cherry-kola,cherry-kush,cherry-limeade,cherry-mender,cherry-og,cherry-pie,cherry-pie-kush,cherry-sauce,cherry-sherbet,cherry-skunk,cherry-slyder,cherry-thunder-fuck,cherry-vanilla-cookies,cherry-wine,cherwillie,chicle,chiesel,china-yunnan,chiquita-banana,chloe,chocoholic,chocolate-cheesecake,chocolate-chunk,chocolate-diesel,chocolate-drop,chocolate-fondue,chocolate-glue,chocolate-hashberry,chocolate-kush,chocolate-lava,chocolate-mint-og,chocolate-og,chocolate-rain,chocolate-sap,chocolate-skunk,chocolate-thai,chocolate-thunder,chocolope-kush,chong-star,chronic,chronic-thunder,chuck-og,chuckys-bride,chunky-diesel,chupacabra,church-og,cinderella-99,cinderellas-dream,cindy-white,cinex,cirrus,citradelic-sunset,citral-glue,citral-skunk,citrix,citrus-kush,citrus-punch,citrus-rush,citrus-sap,citrus-sunshine-haze,city-of-god,clementine,clementine-kush,clementines-terpentine,clockwork-orange,cloud-9,cloudcap,club-69,cluster-bomb,cobra-lips,coconut-oil,cold-creek-kush,colin-og-s1,colombian-gold,colombian-mojito,colorado-bubba,colorado-chem,colorado-clementines,commerce-city-kush,concord-cream,concord-grape-blockhead,confidential-cheese,confidential-cookies,confidential-wreck,congo,connie-chung,conspiracy-kush,cookie-breath,cookie-dough,cookie-jar,cookie-monster,cookie-puss,cookie-wreck,cookies-and-dream,copper-kush,corleone-kush,corleone-kush---the-don-cut,cornbread,cosmic-collision,cotton-candy-kush,cotton-purple-chem,cougar-milk,cowboy-kush,coyote-art,cracker-jack,crater-lake,crazy-miss-hyde,cream-caramel,crimea-blue,critical-47,critical-bilbo,critical-cheese,critical-haze,critical-hog,critical-jack,critical-kali-mist,critical-kush,critical-mass,critical-plus,critical-plus-20,critical-sensi-star,critical-skunk,critical-widow,critters-cookies,crocketts-haze,cronuts,crosswalker,crouching-tiger-hidden-alien,crown-og,crown-royale,crumbled-lime,crunch-berry-kush,crypt,crystal-coma,crystal-gayle,crystalberry,cuvee,cypress-og,dairy-queen,dakini-kush,damn-sour,damnesia,dance-world,dancehall,dank-schrader,dank-sinatra,dark-blue-dream,dark-shadow-haze,dark-side-of-the-moon,dark-star,darkside-og,darth-vader-og,dawgfather-og,dawgs-waltz,day-tripper,daywalker,deadhead-og,deadlights,deadwood,death-bubba,death-by-cake-og,death-star,deathstar-og,deep-breath,deep-cheese,deep-chunk,deep-purple,deep-sleep,delahaze,denver-maple,desert-diesel,desert-star,destar-bx,destroyer,devil-fruit,devils-tit,diablo,diamond-og,diamond-socks,diamond-valley-kush,diesel-dough,diesel-duff,diesel-glue,dieseltonic,digweed,dinachem,dirty-girl,dirty-old-bastard,dirty-widow,disney-blue,divina-obscura,dizzy-og,dj-andy-williams,dj-short-blueberry,dj-smoke,django,do-over-og,do-si-dos,doc-holliday,doctor-doctor,dog-shit,dogwalker-og,dolla-sign-og-kush,domino,don-carlos,don-shula,donegal,donkey-butter,donna-og,dons-ghost,doobiebird-daydream,doox,dopium,dorit,double-barrel-og,double-d,double-diesel,double-dream,double-dutch,double-mint,double-og,double-purple-doja,double-tangie-banana,double-tap,dougs-varin,dr-feelgood,dr-funk,dr-greenthumbs-em-dog,dr-grinspoon,dr-quantum,dr-who,dragon-fruit,dragon-og,dragon-punch,dragons-breath,dreadlock,dream-beaver,dream-berry,dream-girl,dream-lotus,dream-machine,dream-police,dream-queen,dream-star,dreamcatcher,dreamers-glass,drizella,duct-tape,duke-nukem,durban-berry,durban-cheese,durban-cookies,durban-poison,durban-princess,durga-mata,dutch-crunch,dutch-dragon,dutch-hawaiian,dutch-hawaiian-f26d85d8964844c0a3e447bceefefa9f,dutch-haze,dutch-kush,dutch-queen,dutch-thunder-fuck,dutch-treat,dutch-treat-haze,dutchberry,dynamite,eagle-bill,early-girl,early-glue-rbx1,early-miss,early-pearl,early-skunk,earth-og,earthquake,earthshaker-og,east-coast-alien,east-coast-sour-diesel,eastern-european,easy-bud,easy-peezy,ebola-7,ecto-cooler,ed-rosenthal-super-bud,edelweiss,egyptian-royalty-1,el-chapo,el-chapo-og,el-jeffe,el-na,el-nino,el-perro,elderberry-kush,electric-black-mamba,electric-kool-aid,electric-lemon-g,electric-lemonade,elektra,elephant,elmers-glue,elphinstone,elvis,emerald-jack,emerald-og,emperor-cookie-dough,endless-sky,enemy-of-the-state,enigma,eran-almog,erez,ether,ethiopian,ethos-hash-plant-bx1,eugene-cream,euphoria,euphoria-cookies,everlast,exodus-cheese,extreme-cream,extreme-og,f-13,face-off-bx2,face-off-og,face-on-fire,faded-glory,fallen-angel,false-teeth,fast-eddy,fat-axl,fat-nelson,fat-purple,fauxsido,faygo-red-pop,fighting-buddha,fire-alien-kush,fire-alien-strawberry,fire-haze,fire-og,firewalker-og,first-48,first-light,flaming-cookies,flo,flo-limone,flo-og,flo-walker,florida-og,flowerbomb-kush,flowers-for-algernon,fn-louzer,forbidden-fruit,forbidden-zkittlez,formula-one,fortune-cookies,forum-cut-cookies-s1,foul-mouth,four-cups,four-star-general,four-way,fpog,frankenstein,franks-gift,fred-flipn-stoned,freezeland,french-bread
10,,,,,,,,,,,Creative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,Happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,Euphoric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,Focused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,Relaxed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,Happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,Relaxed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,Euphoric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,Talkative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,Focused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,Euphoric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
